縣市,合計,西醫師,中醫師,牙醫師,藥師,藥劑生,醫事檢驗師,醫事檢驗生,醫事放射師,醫事放射士,護理師,護士,助產師,助產士
新北市," 43,589 "," 6,505 "," 1,091 "," 2,803 "," 4,314 ", 919 , 918 , 12 , 851 , 8 ," 18,677 "," 2,287 ", 21 , 5 
臺北市," 63,345 "," 11,488 "," 1,111 "," 3,445 "," 5,307 ", 517 ," 2,330 ", 34 ," 1,602 ", 6 ," 28,960 "," 1,961 ", 23 , 14 
桃園市," 30,569 "," 4,449 ", 593 ," 1,400 "," 2,428 ", 500 , 727 , 22 , 567 , 6 ," 14,997 "," 1,757 ", 7 , 2 
臺中市," 47,416 "," 7,065 "," 1,529 "," 2,088 "," 4,207 ", 714 ," 1,422 ", 10 ," 1,041 ", 3 ," 22,408 "," 1,642 ", 13 , 9 
臺南市," 29,607 "," 4,040 ", 621 ," 1,189 "," 2,816 ", 291 , 885 , 1 , 529 , 8 ," 14,691 "," 1,521 ", 10 , 7 
高雄市," 45,900 "," 7,275 ", 947 ," 1,963 "," 4,122 ", 705 ," 1,281 ", 7 , 804 , 15 ," 21,886 "," 2,365 ", 3 , 18 
宜蘭縣," 6,540 ", 737 , 90 , 197 , 481 , 57 , 157 , 1 , 138 , 3 ," 3,563 ", 422 , 1 , 1 
新竹縣," 6,593 ", 763 , 113 , 285 , 545 , 148 , 213 , 11 , 135 , 2 ," 3,115 ", 455 , 2 , 1 
苗栗縣," 5,257 ", 588 , 114 , 198 , 394 , 220 , 145 , 8 , 115 , - ," 2,401 ", 458 , - , - 
彰化縣," 16,289 "," 2,226 ", 403 , 612 ," 1,399 ", 338 , 479 , 4 , 319 , 3 ," 8,061 ", 709 , 8 , 8 
南投縣," 5,572 ", 658 , 149 , 162 , 496 , 178 , 147 , - , 126 , 1 ," 2,700 ", 312 , 3 , 1 
雲林縣," 7,347 ", 920 , 164 , 174 , 719 , 181 , 217 , 1 , 133 , 3 ," 3,697 ", 476 , 4 , 4 
嘉義縣," 5,819 ", 902 , 83 , 98 , 479 , 84 , 159 , - , 108 , - ," 3,259 ", 244 , 2 , - 
屏東縣," 10,642 "," 1,270 ", 166 , 254 , 957 , 172 , 289 , 4 , 213 , 1 ," 5,633 ", 805 , 3 , 3 
臺東縣," 2,901 ", 336 , 49 , 70 , 198 , 35 , 83 , - , 73 , 1 ," 1,590 ", 184 , 1 , - 
花蓮縣," 6,338 ", 913 , 108 , 154 , 399 , 64 , 185 , 1 , 139 , - ," 3,458 ", 255 , 4 , 5 
澎湖縣, 887 , 128 , 5 , 39 , 59 , 18 , 32 , - , 24 , 1 , 402 , 58 , - , 1 
基隆市," 4,414 ", 751 , 76 , 214 , 355 , 101 , 105 , 6 , 79 , - ," 2,077 ", 231 , - , - 
新竹市," 7,444 ", 994 , 138 , 384 , 534 , 159 , 245 , 3 , 176 , 2 ," 3,562 ", 321 , 2 , 3 
嘉義市," 6,908 ", 950 , 113 , 238 , 609 , 63 , 224 , 1 , 171 , 1 ," 3,470 ", 327 , 7 , 5 
金門縣, 595 , 89 , 8 , 20 , 40 , 4 , 23 , 1 , 19 , 1 , 280 , 35 , - , - 
連江縣, 127 , 16 , - , 9 , 10 , - , 7 , - , 5 , - , 64 , 2 , - , - 