學校類型,學校代碼,學校名稱,學位生_正式修讀學位外國生,學位生_僑生(含港澳),學位生_正式修讀學位陸生,非學位生_外國交換生,非學位生_外國短期研習及個人選讀,非學位生_大專附設華語文中心學生,非學位生_大陸研修生,非學位生_海青班,境外專班
大專校院,0001,國立政治大學,537,622,344,523,58,920,0,0,0
大專校院,0002,國立清華大學,505,444,247,62,147,360,0,0,5
大專校院,0003,國立臺灣大學,871,1297,447,723,516,1023,0,0,0
大專校院,0004,國立臺灣師範大學,598,662,133,124,88,4936,0,0,0
大專校院,0004A,國立臺灣師大僑生先修部,0,588,0,0,0,0,0,0,0
大專校院,0005,國立成功大學,828,677,162,220,128,1238,0,0,0
大專校院,0006,國立中興大學,307,440,35,95,152,135,0,0,0
大專校院,0007,國立交通大學,549,405,170,216,189,554,0,0,0
大專校院,0008,國立中央大學,519,241,84,111,14,177,0,0,0
大專校院,0009,國立中山大學,256,230,61,171,109,456,0,0,0
大專校院,0012,國立臺灣海洋大學,113,346,26,8,43,78,0,0,0
大專校院,0013,國立中正大學,168,370,37,31,219,0,0,0,0
大專校院,0014,國立高雄師範大學,35,137,29,12,103,265,0,0,0
大專校院,0015,國立彰化師範大學,48,200,27,13,81,77,0,0,91
大專校院,0016,國立陽明大學,98,131,15,0,122,0,0,0,0
大專校院,0017,國立臺北大學,49,306,50,35,0,0,0,0,0
大專校院,0018,國立嘉義大學,84,385,7,3,0,230,0,0,0
大專校院,0019,國立高雄大學,23,143,16,15,50,15,0,0,0
大專校院,0020,國立東華大學,272,402,32,20,13,4,0,0,0
大專校院,0021,國立暨南國際大學,68,678,19,6,2,0,0,0,0
大專校院,0022,國立臺灣科技大學,747,314,161,225,93,0,0,0,12
大專校院,0023,國立雲林科技大學,102,244,111,22,3,0,0,0,26
大專校院,0024,國立屏東科技大學,291,308,12,2,123,76,0,53,25
大專校院,0025,國立臺北科技大學,374,286,119,67,48,225,0,0,0
大專校院,0026,國立高雄第一科技大學,60,90,53,42,39,0,0,0,0
大專校院,0027,國立高雄應用科技大學,129,101,20,26,0,0,0,0,0
大專校院,0028,國立臺北藝術大學,90,116,46,20,0,0,0,0,0
大專校院,0029,國立臺灣藝術大學,72,141,52,24,0,0,0,0,0
大專校院,0030,國立臺東大學,22,81,5,0,1,143,0,0,0
大專校院,0031,國立宜蘭大學,12,154,13,4,83,0,0,0,0
大專校院,0032,國立聯合大學,5,89,17,4,39,47,0,0,0
大專校院,0033,國立虎尾科技大學,82,33,27,0,13,0,0,0,0
大專校院,0034,國立高雄海洋科技大學,12,40,6,6,2,0,0,0,0
大專校院,0035,國立臺南藝術大學,13,18,8,0,0,0,0,0,0
大專校院,0036,國立臺南大學,28,111,22,4,0,0,0,0,0
大專校院,0037,國立臺北教育大學,45,166,17,17,45,587,0,0,0
大專校院,0039,國立臺中教育大學,89,191,18,8,42,173,0,0,0
大專校院,0042,國立澎湖科技大學,7,32,9,0,0,0,0,0,0
大專校院,0043,國立勤益科技大學,106,43,19,43,18,0,0,0,0
大專校院,0044,國立體育大學,16,54,27,8,26,0,0,0,0
大專校院,0046,國立臺北護理健康大學,41,97,8,0,171,0,0,0,0
大專校院,0047,國立高雄餐旅大學,90,182,14,15,24,0,0,0,0
大專校院,0048,國立金門大學,1,63,136,0,0,0,0,0,0
大專校院,0049,國立臺灣體育運動大學,4,99,8,1,0,0,0,0,0
大專校院,0050,國立臺中科技大學,7,119,25,1,15,0,0,0,0
大專校院,0051,國立臺北商業大學,12,155,44,31,0,0,0,0,6
大專校院,0052,國立屏東大學,13,173,17,25,100,35,0,0,0
大專校院,0144,國立臺灣戲曲學院,1,8,12,0,0,80,0,0,0
大專校院,0222,國立臺東專科學校,0,0,0,0,2,0,0,0,0
大專校院,1001,東海大學,311,389,415,136,86,471,0,0,0
大專校院,1002,輔仁大學,225,667,612,137,34,780,0,0,0
大專校院,1003,東吳大學,91,491,233,126,28,250,0,0,0
大專校院,1004,中原大學,301,555,367,58,435,1208,0,0,0
大專校院,1005,淡江大學,550,945,528,113,0,1783,0,0,0
大專校院,1006,中國文化大學,359,717,467,128,38,1774,0,224,0
大專校院,1007,逢甲大學,536,660,445,33,176,491,0,279,0
大專校院,1008,靜宜大學,181,238,269,122,51,451,0,212,0
大專校院,1009,長庚大學,187,152,84,5,85,0,0,0,0
大專校院,1010,元智大學,300,244,189,57,137,0,0,0,0
大專校院,1011,中華大學,167,33,24,9,0,85,0,118,0
大專校院,1012,大葉大學,313,353,40,10,102,0,0,101,0
大專校院,1013,華梵大學,28,34,14,0,0,0,0,0,0
大專校院,1014,義守大學,711,668,154,31,174,370,0,0,28
大專校院,1015,世新大學,201,414,307,17,0,56,0,0,0
大專校院,1016,銘傳大學,797,773,553,129,574,522,0,499,0
大專校院,1017,實踐大學,132,461,206,81,142,568,0,0,0
大專校院,1018,朝陽科技大學,185,222,195,10,6,46,0,0,0
大專校院,1019,高雄醫學大學,181,311,20,0,81,0,0,0,0
大專校院,1020,南華大學,236,47,7,1,352,153,0,0,89
大專校院,1021,真理大學,23,72,4,3,0,0,0,0,0
大專校院,1022,大同大學,9,42,79,17,19,0,0,0,0
大專校院,1023,南臺科技大學,277,124,126,45,189,284,0,0,0
大專校院,1024,崑山科技大學,115,38,55,12,103,346,0,17,0
大專校院,1025,嘉南藥理大學,120,43,8,1,25,0,0,0,0
大專校院,1026,樹德科技大學,176,241,161,8,24,54,0,0,60
大專校院,1027,慈濟大學,243,107,16,13,192,302,0,0,0
大專校院,1028,臺北醫學大學,243,311,64,0,626,0,0,0,0
大專校院,1029,中山醫學大學,14,304,27,0,45,0,0,0,0
大專校院,1030,龍華科技大學,222,92,63,33,0,93,0,80,105
大專校院,1031,輔英科技大學,5,88,0,0,130,0,0,0,0
大專校院,1032,明新科技大學,347,43,1,2,0,0,0,6,0
大專校院,1033,長榮大學,92,258,16,15,127,0,0,0,0
大專校院,1034,弘光科技大學,142,250,21,7,61,0,0,171,0
大專校院,1035,中國醫藥大學,152,291,28,0,311,0,0,0,0
大專校院,1036,健行科技大學,38,10,2,30,0,0,0,0,0
大專校院,1037,正修科技大學,59,129,25,69,217,0,0,0,0
大專校院,1038,萬能科技大學,327,50,5,0,34,8,0,0,0
大專校院,1039,玄奘大學,146,145,6,0,14,0,0,0,0
大專校院,1040,建國科技大學,246,25,4,6,0,213,0,80,0
大專校院,1041,明志科技大學,51,3,34,10,21,0,0,0,0
大專校院,1042,高苑科技大學,11,55,0,2,0,5,0,0,0
大專校院,1043,大仁科技大學,24,87,0,1,21,0,0,0,0
大專校院,1044,聖約翰科技大學,155,51,32,5,4,0,0,0,0
大專校院,1045,嶺東科技大學,35,55,68,0,0,0,0,0,0
大專校院,1046,中國科技大學,39,32,85,2,17,0,0,0,0
大專校院,1047,中臺科技大學,40,25,8,0,90,0,0,61,0
大專校院,1048,亞洲大學,203,219,84,53,341,0,0,0,0
大專校院,1049,開南大學,554,72,4,36,72,714,0,0,0
大專校院,1050,佛光大學,78,78,20,15,116,113,0,0,0
大專校院,1051,台南應用科技大學,16,53,32,10,0,0,0,0,0
大專校院,1052,遠東科技大學,95,14,8,4,0,0,0,0,0
大專校院,1053,元培醫事科技大學,54,29,12,0,49,0,0,108,0
大專校院,1054,景文科技大學,142,114,44,0,0,0,0,0,0
大專校院,1055,中華醫事科技大學,8,9,1,0,14,0,0,0,0
大專校院,1056,東南科技大學,43,68,5,1,0,0,0,7,0
大專校院,1057,德明財經科技大學,204,4,3,0,0,0,0,0,0
大專校院,1058,明道大學,168,116,9,109,118,77,0,101,13
大專校院,1060,南開科技大學,20,52,1,3,27,0,0,50,0
大專校院,1061,中華科技大學,16,8,10,0,0,3,0,0,0
大專校院,1062,僑光科技大學,92,15,4,0,0,0,0,0,0
大專校院,1063,育達科技大學,18,6,0,0,13,0,0,0,0
大專校院,1064,美和科技大學,35,5,0,0,0,0,0,0,277
大專校院,1065,吳鳳科技大學,62,6,0,0,0,0,0,0,0
大專校院,1066,環球科技大學,321,52,6,26,0,0,0,184,0
大專校院,1067,台灣首府大學,64,147,4,0,2,0,0,0,0
大專校院,1068,中州科技大學,101,10,1,11,31,0,0,0,7
大專校院,1069,修平科技大學,26,3,1,0,2,0,0,0,0
大專校院,1070,長庚科技大學,0,58,6,0,31,0,0,0,0
大專校院,1071,臺北城市科技大學,22,34,0,4,0,0,0,0,0
大專校院,1072,大華科技大學,36,5,0,2,2,0,0,100,0
大專校院,1073,醒吾科技大學,169,33,7,5,1,0,0,0,31
大專校院,1074,南榮科技大學,47,1,0,0,0,0,0,0,0
大專校院,1075,文藻外語大學,147,54,72,93,8,480,0,0,0
大專校院,1076,華夏科技大學,6,9,3,0,0,0,0,0,0
大專校院,1077,慈濟科技大學,123,11,2,0,44,0,0,0,0
大專校院,1078,致理科技大學,88,18,40,0,11,0,0,0,0
大專校院,1079,康寧大學,91,7,0,1,0,0,0,0,0
大專校院,1080,宏國德霖科技大學,0,7,1,0,5,0,0,0,0
大專校院,1081,東方設計大學,92,7,7,0,39,0,0,0,0
大專校院,1082,崇右影藝科技大學,38,57,4,0,40,0,0,0,0
大專校院,1083,台北海洋科技大學,9,13,5,0,0,0,0,0,0
大專校院,1125,中信金融管理學院,3,0,3,0,0,0,0,0,0
大專校院,1148,大漢技術學院,1,1,2,0,0,0,0,0,0
大專校院,1159,和春技術學院,40,2,0,0,0,0,0,57,0
大專校院,1166,亞東技術學院,1,1,0,5,0,0,0,0,0
大專校院,1168,南亞技術學院,21,0,0,0,0,5,0,0,0
大專校院,1176,稻江科技暨管理學院,1,2,0,0,0,0,0,0,0
大專校院,1182,蘭陽技術學院,5,0,0,0,0,0,0,0,0
大專校院,1183,黎明技術學院,85,6,0,0,0,0,0,0,0
大專校院,1185,經國管理暨健康學院,6,15,0,0,37,0,0,12,0
大專校院,1188,大同技術學院,0,7,1,0,0,0,0,0,0
大專校院,1189,亞太創意技術學院,1,2,0,0,0,0,0,0,0
大專校院,1192,臺灣觀光學院,1,8,0,0,0,0,0,0,0
大專校院,1195,馬偕醫學院,0,10,0,0,11,0,0,0,0
大專校院,1196,法鼓文理學院,35,6,5,0,3,0,0,0,0
大專校院,1282,馬偕醫護管理專科學校,0,1,0,0,0,0,0,0,0
大專校院,1284,樹人醫護管理專科學校,0,0,0,0,20,0,0,0,0
大專校院,1286,耕莘健康管理專科學校,0,1,0,0,0,0,0,0,0
大專校院,1292,新生醫護管理專科學校,0,2,0,0,0,0,0,0,0
大專校院,3002,臺北市立大學,23,165,21,11,17,0,0,0,0
無,9999,無法區分校別,0,0,0,0,0,0,25824,0,0
宗教研修學院,1R02,基督教台灣浸會神學院,0,1,0,0,0,0,0,0,0
宗教研修學院,1R03,臺北基督學院,11,1,0,0,0,0,0,0,0
宗教研修學院,1R04,一貫道天皇學院,0,0,0,0,60,0,0,0,0
軍警大專校院,M104,國防醫學院,0,108,0,0,0,0,0,0,0
